요일구분,K,MCS,방문순서,충전소명,station_key,시간대,time_window_start,time_window_end,arrival_time,service_start,service_end,service_minutes,발생횟수,발생비율_%,profit,위도,경도,from_station_key
토요일,1,1,2,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,08시,08:30,09:13,08:30,08:30,09:13,43,12,23.5,23.5,37.56896427,127.0020909,훈련원공원
토요일,1,1,3,훈련원공원 노상공영주차장,훈련원공원,09시,09:17,10:02,09:17,09:17,10:02,45,31,60.8,60.8,37.56692913,127.0043893,청계3_코리아몰앞
토요일,1,1,4,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,10시,10:26,11:00,10:26,10:26,11:00,34,23,45.1,45.1,37.56896427,127.0020909,훈련원공원
토요일,1,1,5,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,11시,11:31,12:19,11:31,11:31,12:16,45,14,27.5,27.5,37.56896427,127.0020909,청계3_코리아몰앞
토요일,1,1,6,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,12시,12:42,13:03,12:42,12:42,13:03,21,19,37.3,37.3,37.56896427,127.0020909,청계3_코리아몰앞
토요일,1,1,7,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,13시,13:32,14:04,13:32,13:32,14:04,32,14,27.5,27.5,37.56680167,126.9966063,청계3_코리아몰앞
토요일,1,1,8,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,14시,14:28,14:47,14:28,14:28,14:47,19,25,49.0,49.0,37.56710245,127.0017882,을지로_하나은행앞
토요일,1,1,9,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,15시,15:31,16:04,15:32,15:32,16:04,32,14,27.5,27.5,37.56680167,126.9966063,을지로_신한은행앞
토요일,1,1,10,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,16시,16:15,16:56,16:15,16:15,16:56,41,14,27.5,27.5,37.56896427,127.0020909,을지로_하나은행앞
토요일,1,1,11,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,17시,17:28,17:48,17:28,17:28,17:48,20,13,25.5,25.5,37.56896427,127.0020909,청계3_코리아몰앞
토요일,1,1,12,훈련원공원 노상공영주차장,훈련원공원,18시,18:45,19:29,18:45,18:45,19:29,44,15,29.4,29.4,37.56692913,127.0043893,청계3_코리아몰앞
